id,src,ref,hyp,conf,parse_warnings,timestamp_utc
12,"The Comite River near Baton Rouge and Amite River near Denham Springs, both in Louisiana, were predicted to set record crests over the weekend.","Der Fluss Comite in der Nähe Baton Rouges und der Fluss Amite in der Nähe Denham Springs, die sich beide in Louisiana befinden, werden aller Wahrscheinlichkeit nach über das Wochenende Rekordpegel erreichen.","Für den Comite River in der Nähe von Baton Rouge und den Amite River in der Nähe von Denham Springs, beide in Louisiana, wurde vorhergesagt, dass sie am Wochenende Rekordhöchststände erreichen würden.",0.93,,2026-02-26T20:01:33.194150+00:00
13,Mr Fitzpatrick said that the three sons had all lived at the property at different times but said they were all in their 20s.,"Fitzpatrick sagte, dass alle drei Söhne zu unterschiedlichen Zeiten in dem Haus gelebt hätten, aber dass sie alle über 20 seien.","Herr Fitzpatrick sagte, dass die drei Söhne zu unterschiedlichen Zeiten alle auf dem Anwesen gelebt hätten, fügte jedoch hinzu, dass sie alle in ihren Zwanzigern seien.",0.93,,2026-02-26T20:01:35.874216+00:00
14,Frankie Dettori celebrated the milestone with a trademark flying dismount,Frankie Dettori feierte den Meilenstein mit einem typischen Flying Dismount,Frankie Dettori feierte den Meilenstein mit einem markentypischen fliegenden Abstieg.,0.86,,2026-02-26T20:01:40.390196+00:00
15,"""With everything else that's going wrong with the world, he was that diamond in the rough that was shining bright every day,"" he said.","""Bei allem, was in der Welt schief läuft, war er dieser ungeschliffene Diamant, der jeden Tag hell leuchtete,"" sagte er.","""Bei allem anderen, was in der Welt schiefläuft, war er dieser ungeschliffene Diamant, der jeden Tag hell leuchtete"", sagte er.",0.93,,2026-02-26T20:01:43.277650+00:00
16,"This warms the surface and produces rain that creates a thick layer of clouds, which acts like an umbrella to shield the surface from much of the solar heating.","Dies erwärmt die Oberfläche und produziert Regen, das eine dicke Schicht Wolken erschafft, was wie ein Regenschirm wirkt, um die Oberfläche von einem Großteil der Sonnenwärme abzuschirmen.","Dies erwärmt die Oberfläche und erzeugt Regen, der eine dicke Wolkenschicht bildet, die wie ein Regenschirm wirkt, um die Oberfläche vor einem Großteil der solaren Erwärmung zu schützen.",0.93,,2026-02-26T20:01:46.012897+00:00
17,"As said, people prepared to build on these sites should apply in the town hall from now, and the communal council will probably discuss giving out the plots in its September meeting.","Wie es hieß, können sich Bauwillige ab sofort im Rathaus melden, über die Vergabe der Parzellen wird der Gemeinderat voraussichtlich in seiner September-Sitzung beraten.","Wie gesagt, Personen, die bereit sind, auf diesen Grundstücken zu bauen, sollten sich ab sofort im Rathaus bewerben, und der Gemeinderat wird voraussichtlich in seiner Septembersitzung über die Vergabe der Bauplätze beraten.",0.93,,2026-02-26T20:01:49.311853+00:00
18,"In particular, older people who live alone can practice how to focus on people other than themselves.","Gerade ältere Menschen, die allein leben, üben so, sich nicht nur auf sich selbst zu konzentrieren.","Insbesondere ältere Menschen, die allein leben, können üben, sich auf andere Menschen als auf sich selbst zu konzentrieren.",0.93,,2026-02-26T20:01:51.720373+00:00
19,"All told, this is ""a mammoth task"".","Das alles sei schon eine ""Mammutaufgabe"".",Alles in allem ist das „eine Mammutaufgabe“.,0.86,,2026-02-26T20:01:54.819878+00:00
20,"'She didn't try to find anywhere discreet to do it - she just stood there, bold as brass.'","""Sie versuchte nicht einmal einen etwas diskreteren Ort zu finden, um es zu tun - sie stand einfach da, frech wie Oskar.""","Sie versuchte nicht, irgendwo einen diskreten Ort dafür zu finden – sie blieb einfach stehen, dreist wie sonst was.",0.86,,2026-02-26T20:01:57.168127+00:00
21,His sample swab showed a luminometer count of over 4000 units.,Sein Probeabstrich zeigte eine Luminometerzahl von über 4000 Einheiten.,Sein Probenabstrich zeigte einen Luminometerwert von über 4000 Einheiten.,0.93,,2026-02-26T20:02:00.125248+00:00
22,"One reason for not all neighbours seeing this as a problem could be that they are not directly affected by crime: according to statistics, almost all crimes such as bodily harm are directed against the police.","Ein Grund dafür, dass nicht alle Nachbarn das als Problem ansehen, könnte sein, dass sie von der Kriminalität nicht unbedingt betroffen sind: Straftaten wie Körperverletzung richten sich Statistiken zufolge fast ausschließlich gegen Polizisten.","Ein Grund dafür, dass nicht alle Nachbarn dies als Problem ansehen, könnte sein, dass sie nicht direkt von Kriminalität betroffen sind: Laut Statistik richten sich fast alle Straftaten wie Körperverletzung gegen die Polizei.",0.93,,2026-02-26T20:02:03.075277+00:00
23,"Instead, Kempinski Bristol offers an opportunity to dial Israel via an own call center.","Stattdessen bietet das Kempinksi Bristol eine Möglichkeit, Israel über ein eigenes Call Center anzuwählen.","Stattdessen bietet das Kempinski Bristol die Möglichkeit, Israel über ein eigenes Callcenter anzurufen.",0.86,,2026-02-26T20:02:05.473312+00:00
24,Brilliant all over.,Auf ganzer Linie brilliant.,Rundum brillant.,0.86,,2026-02-26T20:02:07.504719+00:00
25,"At their peak spin rates, these maturing stars eject large amounts of stellar wind.",Zu Spitzenrotationsraten stoßen diese reifenden Sterne große Mengen an Sternwinden aus.,Bei ihren maximalen Rotationsgeschwindigkeiten stoßen diese heranreifenden Sterne große Mengen an Sternwind aus.,0.93,,2026-02-26T20:02:10.582849+00:00
26,I have thought long and hard over the course of the summer about how I might improve this team to give it the depth it needs and bring it to a higher level.,"Ich habe im Laufe des Sommers lange und viel darüber nachgedacht, wie ich dieses Team verbessern könnte, um ihm mehr Tiefe zu verleihen, dies es benötigt und es auf ein höheres Niveau zu bringen.","Ich habe den ganzen Sommer über lange und intensiv darüber nachgedacht, wie ich dieses Team verbessern könnte, um ihm die nötige Tiefe zu geben und es auf ein höheres Niveau zu bringen.",0.96,,2026-02-26T20:02:13.422591+00:00
27,No arrests have been made and police are reportedly reviewing surveillance video.,Es kam zu keinen Festnahmen und die Polizei überprüft derzeit Berichten zufolge das Überwachungsvideo.,"Es wurden keine Festnahmen vorgenommen, und Berichten zufolge sichtet die Polizei Überwachungsvideos.",0.93,,2026-02-26T20:02:15.583927+00:00
28,"Current chairman, Breitbrunn's mayoress Gertrud Bühl (FW), looks back to when Ruper Göller was brought on as a water officer in 1985, and was promoted to Managing Director of the Association as soon as 1988.","Die aktuelle Vorsitzende, Breitbrunns Bürgermeisterin Gertrud Bühl (FW), erinnerte daran, dass Rupert Göller 1985 als Wasserwart eingestellt und schon 1988 zum Geschäftsführer des Zweckverbandes ernannt wurde.","Die derzeitige Vorsitzende, Breitbrunns Bürgermeisterin Gertrud Bühl (FW), blickt zurück auf die Zeit, als Rupert Göller 1985 als Wasserwart eingestellt wurde und bereits 1988 zum Geschäftsführer des Verbands befördert wurde.",0.93,,2026-02-26T20:02:18.704670+00:00
29,"The last German tennis player to win was Tommy Haas, who took the silver medal in Sydney in 2000.",Als letzter deutscher Tennisprofi hatte Tommy Haas 2000 in Sydney eine Medaille (Silber) geholt.,"Der letzte deutsche Tennisspieler, der gewann, war Tommy Haas, der 2000 in Sydney die Silbermedaille holte.",0.93,,2026-02-26T20:02:21.431498+00:00
30,"With 5 percent, the FPD could hope to return, but the Pirates, by contrast, would miss out - unlike in 2011.","Mit 5 Prozent könnte die FDP auf eine Rückkehr hoffen, die Piraten würden dagegen im Gegensatz zu 2011 den Einzug verpassen.","Mit 5 Prozent könnte die FDP auf eine Rückkehr hoffen, die Piraten hingegen würden den Einzug verpassen – anders als 2011.",0.93,,2026-02-26T20:02:23.759396+00:00
31,"There will not be a more emotive gold at these games, and that is saying something.",Es wird kein emotinaleres Gold als bei diesen Spielen geben und das will was heißen.,"Bei diesen Spielen wird es kein emotionaleres Gold geben, und das will etwas heißen.",0.86,,2026-02-26T20:02:26.003770+00:00
32,"Ex-Cabinet minister Sir Eric Pickles lambasts the police, election watchdogs and town halls for ignoring evidence of electoral abuse because of ""over-sensitivities about ethnicity and religion.""","Das ehemalige Kabinettsmitglied Sir Eric Pickles greift verbal die Polizei, Wahlbeobachter und Rathäuser dafür an, Beweise von Wahlmissbrauch aufgrund von ""Überempfindlichkeiten bezüglich Ethnie und Religion"" ignoriert zu haben.","Der ehemalige Kabinettsminister Sir Eric Pickles geißelt die Polizei, die Wahlaufsichtsbehörden und die Rathäuser dafür, Beweise für Wahlmissbrauch zu ignorieren – wegen „übertriebener Sensibilitäten in Bezug auf Ethnie und Religion“.",0.93,,2026-02-26T20:02:30.695972+00:00
33,"She views herself as a point-of-contact for all involved: refugees, people from the working group for refugees, administrators, authorities, and anyone else.","Sie sieht sich als Ansprechpartnerin für alle Akteure: Flüchtlinge, Arbeitskreis Flüchtlingshilfe, Verwaltung, Behörden und wer sonst noch mitmischt.","Sie sieht sich als Ansprechpartnerin für alle Beteiligten: Geflüchtete, Menschen aus der Arbeitsgruppe für Geflüchtete, Verwaltungsmitarbeitende, Behörden und alle anderen.",0.97,,2026-02-26T20:02:33.337684+00:00
34,"The federal government will cut funding by 30 per cent from June 2017, which means thousands more vulnerable Queenslanders will be forced to navigate complex legal problems without help.","Die Bundesregierung wird ab Juni 2017 die Mittel um 30 Prozent kürzen, was bedeutet, dass tausende von hilsbedürftigeren Leuten aus Queensland gezwungen sein werden, mit ihren rechtlichen Problemen ohne jegliche Hilfe zurechtzukommen.","Die Bundesregierung wird die Finanzierung ab Juni 2017 um 30 Prozent kürzen, was bedeutet, dass Tausende weitere gefährdete Queenslander gezwungen sein werden, komplexe rechtliche Probleme ohne Hilfe zu bewältigen.",0.95,,2026-02-26T20:02:36.010479+00:00
35,"However, the largest challenge and most difficult shift was when the pipe broke on the Kirchlauter elevated tank on 3 January one year.",Die größte Herausforderung und der schwierigste Einsatz waren aber der Rohrbruch am Hochbehälter bei Kirchlauter an einem 3. Januar.,"Die größte Herausforderung und schwierigste Umstellung war jedoch, als am 3. Januar eines Jahres die Leitung am Hochbehälter Kirchlauter brach.",0.86,,2026-02-26T20:02:38.624652+00:00
36,"Even in this field a few studies showed that woman reacted more sensitively to infants, regardless of whether they had their own children or not, the biologist Marina Scheumann reported.","Auch dabei zeigten einige Studien, dass Frauen sensitiver auf Säuglinge reagierten, ganz gleich ob sie bereits Mütter waren oder nicht, berichtete die Biologin Marina Scheumann.","Auch in diesem Bereich zeigten einige Studien, dass Frauen sensibler auf Säuglinge reagierten, unabhängig davon, ob sie eigene Kinder hatten oder nicht, berichtete die Biologin Marina Scheumann.",0.96,,2026-02-26T20:02:41.240727+00:00
37,Muslim migrants or migrants from the Middle East were vilified in an extremist manner.,So werden Zuwanderer islamischen Glaubens oder aus dem Nahen Osten in extremistischer Weise diffamiert.,Muslimische Migranten oder Migranten aus dem Nahen Osten wurden auf extremistische Weise verteufelt.,0.93,,2026-02-26T20:02:43.706165+00:00
38,"Though trampoline has been an Olympic event since 2000, when it debuted at the Sydney Games, it has spent the intervening 16 years so barely acknowledged that many I surveyed did not realize it was an Olympic sport at all.","Obwohl das Trampolinspringen bereits seit 2000 ein olympisches Ereignis ist, als es in Sydney sein Debüt hatte, wurde es die letzten 16 Jahre so spärlich wahrgenommen, dass viele die, ich befragt hatte, nicht wussten, dass es überhaupt eine Olympiasportart ist.","Obwohl Trampolinspringen seit 2000 eine olympische Disziplin ist, als es bei den Spielen in Sydney sein Debüt gab, ist es in den dazwischenliegenden 16 Jahren so wenig beachtet worden, dass viele der von mir Befragten nicht einmal wussten, dass es überhaupt eine olympische Sportart ist.",0.96,,2026-02-26T20:02:46.541300+00:00
39,"Ethiopia is the second most populous nation in Africa, after Nigeria, and its stability is cherished by the West.",Äthiopien ist nach Nigeria das bevölkerungsreichste Land Afrikas und seine Stabilität wird vom Westen geschätzt.,"Äthiopien ist nach Nigeria die zweitbevölkerungsreichste Nation Afrikas, und seine Stabilität wird vom Westen geschätzt.",0.97,,2026-02-26T20:02:49.048752+00:00
40,"""Shame on you,"" another post stated, pointing out that the hotel, located in the noble Kurfurstendamm street stands near a synagogue.","""Schämt Euch,"" hieß es in einem anderen Beitrag, in dem darauf hingewiesen wurde, dass das Hotel, das sich am noblen Kurfürstendamm befindet, in der Nähe einer Synagoge steht.","""Schäm dich"", hieß es in einem anderen Beitrag, der darauf hinwies, dass das Hotel, das an der vornehmen Straße Kurfürstendamm liegt, in der Nähe einer Synagoge steht.",0.93,,2026-02-26T20:02:52.011253+00:00
41,"It can absolutely be the case that additional right-wing terrorist groups or small gatherings come to exist, and plan attacks on asylum seekers, refugee shelters, or for other far-right motives.","Es kann durchaus sein, dass sich weitere rechtsterroristische Gruppierungen oder Kleinstgruppen bilden, die Anschläge gegen Asylsuchende, gegen Flüchtlingsheime oder Attacken aus anderen rechtsextremistischen Motiven planen.","Es kann durchaus der Fall sein, dass weitere rechtsextreme terroristische Gruppen oder kleine Zusammenkünfte entstehen und Anschläge auf Asylsuchende, Flüchtlingsunterkünfte oder aus anderen rechtsextremen Motiven planen.",0.93,,2026-02-26T20:02:54.458984+00:00
42,Republican presidential candidate Donald Trump has run a controversial campaign.,Der republikanische Präsidentschaftskandidat Donald Trump hat bisher eine kontroverse Kampagne geführt.,Der republikanische Präsidentschaftskandidat Donald Trump hat einen umstrittenen Wahlkampf geführt.,0.97,,2026-02-26T20:02:56.747808+00:00
43,"She said: ""In light of this, the JDC Executive has voted to reject the proposed new contract in full and to call for formal re-negotiations on all of your concerns.""","Sie sagte:""In Anbetracht dessen hat der JDC Vorstand abgestimmt, den vorgeschlagenen neuen Vertrag vollständig abzulehnen und offizielle Neuverhandlungen zu all Euren Sorgen angefordert.""","Sie sagte: ""Vor diesem Hintergrund hat die JDC-Exekutive dafür gestimmt, den vorgeschlagenen neuen Vertrag in vollem Umfang abzulehnen und formelle Neuverhandlungen zu all Ihren Anliegen zu fordern.""",0.97,,2026-02-26T20:02:59.069781+00:00
44,His wife told Hansford that it's the highest she's seen the creek in the 48 years she's lived there.,"Seine Frau sagte Hansford, dass sie in den 48 Jahren, in denen sie dort lebte, noch nie einen solchen Hochstand des Flusses gesehen hätte.","Seine Frau sagte Hansford, dass es der höchste Stand sei, den sie in den 48 Jahren, die sie dort lebt, am Bach gesehen habe.",0.86,,2026-02-26T20:03:01.779496+00:00
45,"The shooting stars are the Perseids: some of the quickest shooting stars, travelling at 216000 kilometres an hour.","Bei den Sternschuppen handelt es sich um Perseiden, die mit 216000 Kilometern pro Stunde zu den schnellsten Sternschnuppen gehören.","Die Sternschnuppen sind die Perseiden: einige der schnellsten Sternschnuppen, die mit 216000 Kilometern pro Stunde unterwegs sind.",0.96,,2026-02-26T20:03:04.900247+00:00
46,"'I was referring to a swimmer's performance, and not to them as a person.'","""Ich habe mich auf die Leistung der Schwimmerin und nicht auf sie als Person bezogen.""",Ich bezog mich auf die Leistung eines Schwimmers und nicht auf ihn als Person.,0.96,,2026-02-26T20:03:07.053367+00:00
47,"So it appears that there were multiple armed combatants out here and that they were actively engaged,"" Philadelphia police Captain Anthony Ginaldi told the station.","So scheint es hier mehrere bewaffnete Kämpfer gegeben zu haben, die sehr aktiv beteiligt waren,"" teilte Polizeihautpmann Anthony Ginaldi der Polizei in Philadelphia dem Sender mit.","Es scheint also, dass hier mehrere bewaffnete Kämpfer waren und dass sie aktiv beteiligt waren"", sagte der Polizeihauptmann von Philadelphia, Anthony Ginaldi, dem Sender.",0.86,,2026-02-26T20:03:09.759894+00:00
48,"Justin Gatlin (100, 200, 4x100m relay/USA): The 34-year-old is one of the most controversial track athletes.","Justin Gatlin (100, 200, 4x100-m-Staffel/USA): Der 34-Jährige gehört zu den umstrittensten Figuren in der Leichtathletik.","Justin Gatlin (100, 200, 4x100-m-Staffel/USA): Der 34-Jährige ist einer der umstrittensten Leichtathleten.",0.96,,2026-02-26T20:03:12.145946+00:00
49,Multiple houses and vehicles in the area were also struck.,Es wurden auch mehrere Häuser und Fahrzeuge in dem Gebiet getroffen.,Mehrere Häuser und Fahrzeuge in der Gegend wurden ebenfalls getroffen.,0.99,,2026-02-26T20:03:14.260923+00:00
50,"Ms. Ziegelman recalled: ""She actually got people sick.""","Ziegelman erinnerte sich: ""Sie machte Leute tatsächlich krank.""","Frau Ziegelman erinnerte sich: ""Sie hat tatsächlich Menschen krank gemacht.""",0.93,,2026-02-26T20:03:16.421667+00:00
51,"""We always tell victims not to pay up: that simply exacerbates the problem,"" explains Kleczynski.","""Wir sagen den Opfern immer: Zahlt nicht, ihr fördert damit nur das Problem"", erklärt Kleczynski.","Wir sagen Opfern immer, sie sollen nicht zahlen: Das verschärft das Problem nur"", erklärt Kleczynski.",0.93,,2026-02-26T20:03:19.623470+00:00
52,"""We are currently seeing harmful software develop terrifyingly quickly,"" explains Malwarebytes' CEO, Marcin Kleczynski, in an interview with ""Die Welt"" newspaper.","""Wir beobachten aktuell eine erschreckend schnelle Evolution der Schadsoftware"", erklärt Malwarebytes-Chef Marcin Kleczynski im Gespräch mit der ""Welt"".","""Wir erleben derzeit, dass sich schädliche Software erschreckend schnell entwickelt"", erklärt Malwarebytes-CEO Marcin Kleczynski in einem Interview mit der Zeitung ""Die Welt"".",0.96,,2026-02-26T20:03:22.009480+00:00
53,"The ransomware encrypts these files, and deletes the originals for good.",Diese Dateien verschlüsselt die Ransomware und löscht die Originale nachhaltig.,Die Ransomware verschlüsselt diese Dateien und löscht die Originale endgültig.,0.97,,2026-02-26T20:03:24.205759+00:00
54,"Last August, The New York Times reported the existence of the Pentagon inspector general investigation, opened after complaints by Centcom analysts.","Im vergangenen August berichtete die New York Times von Ermittlungen durch den Generalinspekteur des Pentagon, die nach Beschwerden von Centcom Analysten aufgenommen wurden.","Im vergangenen August berichtete die New York Times über die Existenz der Untersuchung des Generalinspekteurs des Pentagons, die nach Beschwerden von Analysten des Centcom eingeleitet wurde.",0.96,,2026-02-26T20:03:26.889115+00:00
55,It was hard not to admire Fiji's whole joyful approach.,Es war nicht schwer den spielerischen Ansatz Fijis zu bewundern.,"Es war schwer, nicht Fidschis durchweg fröhliche Herangehensweise zu bewundern.",0.93,,2026-02-26T20:03:29.257780+00:00
56,During training the German pulled a ligament in his knee. At least it's clear who'll be wearing the number one jersey for Barca: Claudio Bravo.,"Der Deutsche erlitt im Training eine Bänderstauchung im Knie, womit die Einserfrage bei Barca zumindest vorerst zugunsten von Claudio Bravo geklärt ist.","Während des Trainings zog sich der Deutsche eine Bänderverletzung im Knie zu. Wenigstens ist klar, wer das Trikot mit der Nummer eins für Barca tragen wird: Claudio Bravo.",0.93,,2026-02-26T20:03:31.975108+00:00
57,"For Kerstin Neugebauer, who has been living in a block of flats next-door to controversial number 94 for 17 years, there can be no talk of uncertainty.","Für Kerstin Neugebauer, die seit 17 Jahren in einem Mietshaus neben der umstrittenen 94 wohnt, kann von Unsicherheit keine Rede sein.","Für Kerstin Neugebauer, die seit 17 Jahren in einem Wohnblock direkt neben der umstrittenen Nummer 94 lebt, kann von Unsicherheit keine Rede sein.",0.97,,2026-02-26T20:03:34.530575+00:00
58,Do the smiles convince?,Überzeugen die lächelnden Gesichter?,Überzeugen die Lächeln?,0.62,,2026-02-26T20:03:36.778036+00:00
59,This is generally used by large US banks.,Das nutzen gerade große US-Banken.,Dies wird im Allgemeinen von großen US-Banken verwendet.,0.98,,2026-02-26T20:03:39.451169+00:00
60,"""Groups such as the ""Identitäre Bewegung"" are trying to approach their target group on their level,"" said the head of constitutional protection.","""Gruppen wie die 'Identitäre Bewegung' versuchen, ihre Zielgruppe da abzuholen, wo sie steht"", sagte der Verfassungsschutzchef.","Gruppen wie die ""Identitäre Bewegung"" versuchen, ihre Zielgruppe auf deren Ebene anzusprechen"", sagte der Chef des Verfassungsschutzes.",0.93,,2026-02-26T20:03:41.896766+00:00
61,"There was no whipped cream, just prunes, a little bit of flour, sugar, water and cinnamon.","Es gab keine geschlagene Sahne, nur Pflaumen, etwas Mehl, Zucker, Wasser und Zimt.","Es gab keine Schlagsahne, nur Pflaumen, ein bisschen Mehl, Zucker, Wasser und Zimt.",0.93,,2026-02-26T20:03:44.379698+00:00
62,"After he had beaten 16 rivals from within the Republican camp, doubt is now growing as to whether he will be successful in the race for the White House.","Nachdem er 16 Rivalen innerhalb des eigenen republikanischen Lagers aus dem Rennen geworfen hat, wachsen nun die Zweifel an seinem Erfolg im Kampf um das Weiße Haus.","Nachdem er 16 Rivalen aus dem republikanischen Lager besiegt hatte, wachsen nun Zweifel daran, ob er im Rennen um das Weiße Haus erfolgreich sein wird.",0.96,,2026-02-26T20:03:47.092027+00:00
63,Tourists on the beach at Aveiro were terrified when the plane appeared out of the murk and flew at an incredibly low altitude,"Touristen am Strand von Aveiro waren in Panik versetzt, als das Flugzeug aus der Dunkelheit kam und unglaublich tief flog","Touristen am Strand von Aveiro waren entsetzt, als das Flugzeug aus dem Dunst auftauchte und in unglaublich niedriger Höhe flog.",0.93,,2026-02-26T20:03:49.499649+00:00
64,"But the target group wasn't right: there were more people from North Rhine-Westphalia, Berlin and Saxony there than people from Mecklenburg-Vorpommern.","Aber die Zielgruppe stimmte nicht, es waren mehr Nordrhein-Westfalen, Berliner und Sachsen da als Mecklenburger und Vorpommern.","Aber die Zielgruppe stimmte nicht: Dort waren mehr Menschen aus Nordrhein-Westfalen, Berlin und Sachsen als Menschen aus Mecklenburg-Vorpommern.",0.99,,2026-02-26T20:03:51.747600+00:00
65,"Doctors recommend an examination in a sleep lab for patients whose snoring disrupts their breathing, for people who feel abnormally sleepy during the day, for sleepwalkers, or if the cause of a sleep disorder cannot be pinpointed, explains Fietze.","Zur Untersuchung im Schlaflabor raten Mediziner zum Beispiel bei Schnarchen mit Atemaussetzern, bei krankhafter Tagesmüdigkeit, bei Schlafwandlern oder wenn man die Ursache einer Durchschlafstörung nicht findet, erklärt Fietze.","Ärzte empfehlen eine Untersuchung in einem Schlaflabor für Patienten, deren Schnarchen ihre Atmung beeinträchtigt, für Menschen, die sich tagsüber ungewöhnlich schläfrig fühlen, für Schlafwandler oder wenn die Ursache einer Schlafstörung nicht genau bestimmt werden kann, erklärt Fietze.",0.97,,2026-02-26T20:03:54.451731+00:00
66,"In Bavaria, the seven district governments are responsible for providing accommodation for refugees.",In Bayern sind die sieben Bezirksregierungen für die Unterbringung von Flüchtlingen zuständig.,In Bayern sind die sieben Bezirksregierungen für die Bereitstellung von Unterkünften für Flüchtlinge zuständig.,0.93,,2026-02-26T20:03:56.680411+00:00
67,His mother stares at the tabletop.,Seine Mutter starrt auf die Tischplatte.,Seine Mutter starrt auf die Tischplatte.,0.96,,2026-02-26T20:03:58.673823+00:00
68,He voiced particular alarm about postal voting fraud - in which senior members of the Muslim community were said to have exerted pressure on people to vote for a candidate of their choosing.,"Er äußerte sich insbesondere alarmierend zur betrügerischen Briefwahl - bei der ältere Mitglieder der muslimischen Gemeinschaft Druck auf Leute gemacht hätten, einen Kandidaten ihrer Wahl zu wählen.","Er äußerte besondere Besorgnis über Betrug bei der Briefwahl – bei dem hochrangige Mitglieder der muslimischen Gemeinschaft angeblich Druck auf Menschen ausgeübt haben sollen, für einen Kandidaten ihrer Wahl zu stimmen.",0.93,,2026-02-26T20:04:01.433970+00:00
69,And it can be the case that several factors have an impact on each other.,"Und es kann sein, dass verschiedene Faktoren einander bedingen.","Und es kann der Fall sein, dass mehrere Faktoren sich gegenseitig beeinflussen.",0.97,,2026-02-26T20:04:03.998172+00:00
