id,src,ref,hyp,conf,parse_warnings,timestamp_utc
10,"But, even on the off-chance that Ms Jenner - who is described by the magazine as the ""breakout model"" of her generation - falls into the former category, she is in pretty good company.","Aber selbst bei der geringen Chance, dass Frau Jenner - die von der Zeitschrift als das ""Durchbruchmodel"" ihrer Generation beschrieben wird - unter die frühere Kategorie fällt, befindet sie sich in guter Gesellschaft.","Aber selbst für den unwahrscheinlichen Fall, dass Frau Jenner – die vom Magazin als das „Durchbruchsmodell“ ihrer Generation beschrieben wird – in die erstere Kategorie fällt, ist sie in ziemlich guter Gesellschaft.",0.73,,2026-02-26T23:56:59.652724+00:00
11,"""The benefits of the restructuring programme will only become visible after 5 years,"" he said.","""Die Früchte der Umstrukturierung sind aber auch nach 5 Jahren noch nicht zu sehen"", hieß es.",Die Vorteile des Umstrukturierungsprogramms werden erst nach 5 Jahren sichtbar,0.73,translation_no_json,2026-02-26T23:57:02.965983+00:00
12,"The Comite River near Baton Rouge and Amite River near Denham Springs, both in Louisiana, were predicted to set record crests over the weekend.","Der Fluss Comite in der Nähe Baton Rouges und der Fluss Amite in der Nähe Denham Springs, die sich beide in Louisiana befinden, werden aller Wahrscheinlichkeit nach über das Wochenende Rekordpegel erreichen.","Für den Comite River bei Baton Rouge und den Amite River bei Denham Springs, beide in Louisiana, wurden für das Wochenende Rekordhochwasserstände prognostiziert.",0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:57:08.871710+00:00
13,Mr Fitzpatrick said that the three sons had all lived at the property at different times but said they were all in their 20s.,"Fitzpatrick sagte, dass alle drei Söhne zu unterschiedlichen Zeiten in dem Haus gelebt hätten, aber dass sie alle über 20 seien.","Herr Fitzpatrick sagte, dass alle drei Söhne zu verschiedenen Zeiten auf dem Grundstück gewohnt hatten, aber dass sie alle in ihren Zwanzigern waren.",0.73,,2026-02-26T23:57:12.879831+00:00
14,Frankie Dettori celebrated the milestone with a trademark flying dismount,Frankie Dettori feierte den Meilenstein mit einem typischen Flying Dismount,Frankie Dettori feierte den Meilenstein mit einem charakteristischen fliegenden Abgang.,0.73,,2026-02-26T23:57:15.610458+00:00
15,"""With everything else that's going wrong with the world, he was that diamond in the rough that was shining bright every day,"" he said.","""Bei allem, was in der Welt schief läuft, war er dieser ungeschliffene Diamant, der jeden Tag hell leuchtete,"" sagte er.","Angesichts all der anderen Dinge, die in der Welt schieflaufen, war er dieser ungeschliffene Diamant, der jeden Tag hell strahlte",0.73,translation_no_json,2026-02-26T23:57:19.630605+00:00
16,"This warms the surface and produces rain that creates a thick layer of clouds, which acts like an umbrella to shield the surface from much of the solar heating.","Dies erwärmt die Oberfläche und produziert Regen, das eine dicke Schicht Wolken erschafft, was wie ein Regenschirm wirkt, um die Oberfläche von einem Großteil der Sonnenwärme abzuschirmen.","Dies erwärmt die Oberfläche und erzeugt Regen, der eine dicke Wolkenschicht bildet, die wie ein Regenschirm wirkt, um die Oberfläche vor einem Großteil der Sonneneinstrahlung zu schützen.",0.73,,2026-02-26T23:57:23.375562+00:00
17,"As said, people prepared to build on these sites should apply in the town hall from now, and the communal council will probably discuss giving out the plots in its September meeting.","Wie es hieß, können sich Bauwillige ab sofort im Rathaus melden, über die Vergabe der Parzellen wird der Gemeinderat voraussichtlich in seiner September-Sitzung beraten.","Wie gesagt, Personen, die bereit sind, auf diesen Grundstücken zu bauen, sollten sich ab sofort im Rathaus bewerben, und der Gemeinderat wird die Vergabe der Parzellen voraussichtlich in seiner September-Sitzung besprechen.",0.73,,2026-02-26T23:57:27.397903+00:00
18,"In particular, older people who live alone can practice how to focus on people other than themselves.","Gerade ältere Menschen, die allein leben, üben so, sich nicht nur auf sich selbst zu konzentrieren.","Insbesondere können ältere Menschen, die allein leben, üben, sich auf andere Menschen als sich selbst zu konzentrieren.",0.06,confidence_no_json;confidence_from_regex,2026-02-26T23:57:31.669747+00:00
19,"All told, this is ""a mammoth task"".","Das alles sei schon eine ""Mammutaufgabe"".",Alles in allem ist das eine Mammutaufgabe.,0.98,,2026-02-26T23:57:34.424361+00:00
20,"'She didn't try to find anywhere discreet to do it - she just stood there, bold as brass.'","""Sie versuchte nicht einmal einen etwas diskreteren Ort zu finden, um es zu tun - sie stand einfach da, frech wie Oskar.""","Sie versuchte nicht, einen diskreten Ort dafür zu finden – sie stand einfach da, ganz dreist.",0.73,,2026-02-26T23:57:38.621597+00:00
21,His sample swab showed a luminometer count of over 4000 units.,Sein Probeabstrich zeigte eine Luminometerzahl von über 4000 Einheiten.,Sein Probenabstrich zeigte einen Luminometerwert von über 4000 Einheiten.,0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:57:43.719349+00:00
22,"One reason for not all neighbours seeing this as a problem could be that they are not directly affected by crime: according to statistics, almost all crimes such as bodily harm are directed against the police.","Ein Grund dafür, dass nicht alle Nachbarn das als Problem ansehen, könnte sein, dass sie von der Kriminalität nicht unbedingt betroffen sind: Straftaten wie Körperverletzung richten sich Statistiken zufolge fast ausschließlich gegen Polizisten.","Ein Grund, warum nicht alle Nachbarn dies als Problem sehen, könnte sein, dass sie nicht direkt von Kriminalität betroffen sind: Laut Statistik richten sich fast alle Verbrechen wie Körperverletzung gegen die Polizei.",0.02,confidence_no_json;no_confidence_found;confidence_from_regex;confidence_repaired,2026-02-26T23:57:50.523903+00:00
23,"Instead, Kempinski Bristol offers an opportunity to dial Israel via an own call center.","Stattdessen bietet das Kempinksi Bristol eine Möglichkeit, Israel über ein eigenes Call Center anzuwählen.","Stattdessen bietet das Kempinski Bristol die Möglichkeit, Israel über ein eigenes Callcenter anzurufen.",0.06,confidence_no_json;confidence_from_regex,2026-02-26T23:57:54.256003+00:00
24,Brilliant all over.,Auf ganzer Linie brilliant.,Rundum brillant.,0.73,,2026-02-26T23:57:57.070540+00:00
25,"At their peak spin rates, these maturing stars eject large amounts of stellar wind.",Zu Spitzenrotationsraten stoßen diese reifenden Sterne große Mengen an Sternwinden aus.,Auf ihren höchsten Rotationsgeschwindigkeiten stoßen diese reifenden Sterne große Mengen Sternenwind aus.,0.06,confidence_no_json;confidence_from_regex,2026-02-26T23:58:00.358205+00:00
26,I have thought long and hard over the course of the summer about how I might improve this team to give it the depth it needs and bring it to a higher level.,"Ich habe im Laufe des Sommers lange und viel darüber nachgedacht, wie ich dieses Team verbessern könnte, um ihm mehr Tiefe zu verleihen, dies es benötigt und es auf ein höheres Niveau zu bringen.","Ich habe den ganzen Sommer lang intensiv darüber nachgedacht, wie ich dieses Team verbessern könnte, um ihm die nötige Tiefe zu verleihen und es auf ein höheres Niveau zu bringen.",0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:58:06.820078+00:00
27,No arrests have been made and police are reportedly reviewing surveillance video.,Es kam zu keinen Festnahmen und die Polizei überprüft derzeit Berichten zufolge das Überwachungsvideo.,Es wurden keine Verhaftungen vorgenommen und die Polizei prüft Berichten zufolge Überwachungsvideos.,0.73,,2026-02-26T23:58:09.713385+00:00
28,"Current chairman, Breitbrunn's mayoress Gertrud Bühl (FW), looks back to when Ruper Göller was brought on as a water officer in 1985, and was promoted to Managing Director of the Association as soon as 1988.","Die aktuelle Vorsitzende, Breitbrunns Bürgermeisterin Gertrud Bühl (FW), erinnerte daran, dass Rupert Göller 1985 als Wasserwart eingestellt und schon 1988 zum Geschäftsführer des Zweckverbandes ernannt wurde.","Die derzeitige Vorsitzende, Breitbrunns BÃ¼rgermeisterin Gertrud BÃ¼hl (FW), blickt zurÃ¼ck auf die Zeit,",0.9,translation_no_json;confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:58:16.494200+00:00
29,"The last German tennis player to win was Tommy Haas, who took the silver medal in Sydney in 2000.",Als letzter deutscher Tennisprofi hatte Tommy Haas 2000 in Sydney eine Medaille (Silber) geholt.,"Der letzte deutsche Tennisspieler, der gewann, war Tommy Haas, der 2000 in Sydney die Silbermedaille holte.",0.99,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:58:21.480559+00:00
30,"With 5 percent, the FPD could hope to return, but the Pirates, by contrast, would miss out - unlike in 2011.","Mit 5 Prozent könnte die FDP auf eine Rückkehr hoffen, die Piraten würden dagegen im Gegensatz zu 2011 den Einzug verpassen.","Mit 5 Prozent könnte die FDP auf eine Rückkehr hoffen, die Piraten würden dagegen den Einzug verpassen – anders als 2011.",0.73,,2026-02-26T23:58:24.739709+00:00
31,"There will not be a more emotive gold at these games, and that is saying something.",Es wird kein emotinaleres Gold als bei diesen Spielen geben und das will was heißen.,"Es wird bei diesen Spielen kein emotionaleres Gold geben, und das will etwas heißen.",0.73,,2026-02-26T23:58:28.430402+00:00
32,"Ex-Cabinet minister Sir Eric Pickles lambasts the police, election watchdogs and town halls for ignoring evidence of electoral abuse because of ""over-sensitivities about ethnicity and religion.""","Das ehemalige Kabinettsmitglied Sir Eric Pickles greift verbal die Polizei, Wahlbeobachter und Rathäuser dafür an, Beweise von Wahlmissbrauch aufgrund von ""Überempfindlichkeiten bezüglich Ethnie und Religion"" ignoriert zu haben.",Der ehemalige Kab,0.01,translation_no_json,2026-02-26T23:58:33.614977+00:00
33,"She views herself as a point-of-contact for all involved: refugees, people from the working group for refugees, administrators, authorities, and anyone else.","Sie sieht sich als Ansprechpartnerin für alle Akteure: Flüchtlinge, Arbeitskreis Flüchtlingshilfe, Verwaltung, Behörden und wer sonst noch mitmischt.","Sie sieht sich als Ansprechpartnerin für alle Beteiligten: Flüchtlinge, Mitglieder der Arbeitsgruppe für Flüchtlinge, Administratoren, Behörden und alle anderen.",0.73,,2026-02-26T23:58:38.376218+00:00
34,"The federal government will cut funding by 30 per cent from June 2017, which means thousands more vulnerable Queenslanders will be forced to navigate complex legal problems without help.","Die Bundesregierung wird ab Juni 2017 die Mittel um 30 Prozent kürzen, was bedeutet, dass tausende von hilsbedürftigeren Leuten aus Queensland gezwungen sein werden, mit ihren rechtlichen Problemen ohne jegliche Hilfe zurechtzukommen.","Die Bundesregierung wird die Finanzierung ab Juni 2017 um 30 Prozent kürzen, was bedeutet, dass Tausende weitere schutzbedürftige Queenslander gezwungen sein werden, komplexe rechtliche Probleme ohne Hilfe zu bewältigen.",0.06,confidence_no_json;confidence_from_regex,2026-02-26T23:58:43.399113+00:00
35,"However, the largest challenge and most difficult shift was when the pipe broke on the Kirchlauter elevated tank on 3 January one year.",Die größte Herausforderung und der schwierigste Einsatz waren aber der Rohrbruch am Hochbehälter bei Kirchlauter an einem 3. Januar.,"Allerdings war die größte Herausforderung und schwierigste Umstellung, als am 3. Januar eines Jahres das Rohr am Hochbehälter Kirchlauter brach.",0.73,,2026-02-26T23:58:47.850180+00:00
36,"Even in this field a few studies showed that woman reacted more sensitively to infants, regardless of whether they had their own children or not, the biologist Marina Scheumann reported.","Auch dabei zeigten einige Studien, dass Frauen sensitiver auf Säuglinge reagierten, ganz gleich ob sie bereits Mütter waren oder nicht, berichtete die Biologin Marina Scheumann.","Selbst in diesem Bereich zeigten einige Studien, dass Frauen empfindlicher auf Säuglinge reagierten, unabhängig davon, ob sie eigene Kinder hatten oder nicht, berichtete die Biologin Marina Scheumann.",0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:58:53.774821+00:00
37,Muslim migrants or migrants from the Middle East were vilified in an extremist manner.,So werden Zuwanderer islamischen Glaubens oder aus dem Nahen Osten in extremistischer Weise diffamiert.,Muslimische Migranten oder Migranten aus dem Nahen Osten wurden auf extremistische Weise verunglimpft.,0.73,,2026-02-26T23:58:57.085641+00:00
38,"Though trampoline has been an Olympic event since 2000, when it debuted at the Sydney Games, it has spent the intervening 16 years so barely acknowledged that many I surveyed did not realize it was an Olympic sport at all.","Obwohl das Trampolinspringen bereits seit 2000 ein olympisches Ereignis ist, als es in Sydney sein Debüt hatte, wurde es die letzten 16 Jahre so spärlich wahrgenommen, dass viele die, ich befragt hatte, nicht wussten, dass es überhaupt eine Olympiasportart ist.","Obwohl Trampolinturnen seit 2000, als es bei den Spielen in Sydney debütierte, eine olympische Disziplin ist, wurde es in den dazwischenliegenden 16 Jahren so kaum wahrgenommen, dass viele der von mir Befragten nicht einmal wussten, dass es überhaupt eine olympische Sportart ist.",0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:59:02.417551+00:00
39,"Ethiopia is the second most populous nation in Africa, after Nigeria, and its stability is cherished by the West.",Äthiopien ist nach Nigeria das bevölkerungsreichste Land Afrikas und seine Stabilität wird vom Westen geschätzt.,"Äthiopien ist nach Nigeria die zweitbevölkerungsreichste Nation Afrikas, und seine Stabilität wird vom Westen geschätzt.",0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:59:07.494291+00:00
40,"""Shame on you,"" another post stated, pointing out that the hotel, located in the noble Kurfurstendamm street stands near a synagogue.","""Schämt Euch,"" hieß es in einem anderen Beitrag, in dem darauf hingewiesen wurde, dass das Hotel, das sich am noblen Kurfürstendamm befindet, in der Nähe einer Synagoge steht.","""Schäm dich"", hieß es in einem anderen Beitrag, der darauf hinwies, dass das Hotel an der edlen Kurfürstendamm-Straße in der Nähe einer Synagoge steht.",0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:59:12.736315+00:00
41,"It can absolutely be the case that additional right-wing terrorist groups or small gatherings come to exist, and plan attacks on asylum seekers, refugee shelters, or for other far-right motives.","Es kann durchaus sein, dass sich weitere rechtsterroristische Gruppierungen oder Kleinstgruppen bilden, die Anschläge gegen Asylsuchende, gegen Flüchtlingsheime oder Attacken aus anderen rechtsextremistischen Motiven planen.","Es kann durchaus der Fall sein, dass weitere rechtsextreme Terrorgruppen oder kleine ZusammenschlÃ¼sse entstehen und",0.73,translation_no_json,2026-02-26T23:59:16.734310+00:00
42,Republican presidential candidate Donald Trump has run a controversial campaign.,Der republikanische Präsidentschaftskandidat Donald Trump hat bisher eine kontroverse Kampagne geführt.,Der republikanische Präsidentschaftskandidat Donald Trump hat einen kontroversen Wahlkampf geführt.,0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:59:22.156543+00:00
43,"She said: ""In light of this, the JDC Executive has voted to reject the proposed new contract in full and to call for formal re-negotiations on all of your concerns.""","Sie sagte:""In Anbetracht dessen hat der JDC Vorstand abgestimmt, den vorgeschlagenen neuen Vertrag vollständig abzulehnen und offizielle Neuverhandlungen zu all Euren Sorgen angefordert.""","Sie sagte: „Angesichts dessen hat der JDC-Vorstand beschlossen, den vorgeschlagenen neuen Vertrag vollständig abzulehnen und formelle Neuverhandlungen über alle Ihre Bedenken zu fordern.“",0.73,,2026-02-26T23:59:25.245365+00:00
44,His wife told Hansford that it's the highest she's seen the creek in the 48 years she's lived there.,"Seine Frau sagte Hansford, dass sie in den 48 Jahren, in denen sie dort lebte, noch nie einen solchen Hochstand des Flusses gesehen hätte.",Seine Frau erzÃ¤hlte Hans,0.75,translation_no_json;confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:59:31.233370+00:00
45,"The shooting stars are the Perseids: some of the quickest shooting stars, travelling at 216000 kilometres an hour.","Bei den Sternschuppen handelt es sich um Perseiden, die mit 216000 Kilometern pro Stunde zu den schnellsten Sternschnuppen gehören.","Die Sternschnuppen sind die Perseiden: einige der schnellsten Sternschnuppen, die mit 216000 Kilometern pro Stunde unterwegs sind.",0.73,,2026-02-26T23:59:34.155363+00:00
46,"'I was referring to a swimmer's performance, and not to them as a person.'","""Ich habe mich auf die Leistung der Schwimmerin und nicht auf sie als Person bezogen.""",Ich bezog mich auf die Leistung eines Schwimmers und nicht auf ihn als Person.,0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:59:38.396886+00:00
47,"So it appears that there were multiple armed combatants out here and that they were actively engaged,"" Philadelphia police Captain Anthony Ginaldi told the station.","So scheint es hier mehrere bewaffnete Kämpfer gegeben zu haben, die sehr aktiv beteiligt waren,"" teilte Polizeihautpmann Anthony Ginaldi der Polizei in Philadelphia dem Sender mit.","Es scheint also, dass es hier mehrere bewaffnete Kämpfer gab und dass diese aktiv in Kämpfe verwickelt waren"", sagte der Polizeihauptmann von Philadelphia, Anthony Ginaldi, dem Sender.",0.73,,2026-02-26T23:59:42.202088+00:00
48,"Justin Gatlin (100, 200, 4x100m relay/USA): The 34-year-old is one of the most controversial track athletes.","Justin Gatlin (100, 200, 4x100-m-Staffel/USA): Der 34-Jährige gehört zu den umstrittensten Figuren in der Leichtathletik.","Justin Gatlin (100, 200, 4x100m Staffel/USA): Der 34-Jährige ist einer der umstrittensten Leichtathleten.",0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:59:47.143313+00:00
49,Multiple houses and vehicles in the area were also struck.,Es wurden auch mehrere Häuser und Fahrzeuge in dem Gebiet getroffen.,Mehrere Häuser und Fahrzeuge in der Gegend wurden ebenfalls getroffen.,0.73,,2026-02-26T23:59:50.347043+00:00
50,"Ms. Ziegelman recalled: ""She actually got people sick.""","Ziegelman erinnerte sich: ""Sie machte Leute tatsächlich krank.""","Frau Ziegelman erinnerte sich: ""Sie hat tatsächlich Leute krank gemacht.""",0.06,confidence_no_json;confidence_from_regex,2026-02-26T23:59:54.060826+00:00
51,"""We always tell victims not to pay up: that simply exacerbates the problem,"" explains Kleczynski.","""Wir sagen den Opfern immer: Zahlt nicht, ihr fördert damit nur das Problem"", erklärt Kleczynski.","Wir raten Opfern immer, nicht zu zahlen: Das verschlimmert das Problem nur",0.95,translation_no_json;confidence_no_json;no_confidence_found;confidence_repaired,2026-02-27T00:00:00.205848+00:00
52,"""We are currently seeing harmful software develop terrifyingly quickly,"" explains Malwarebytes' CEO, Marcin Kleczynski, in an interview with ""Die Welt"" newspaper.","""Wir beobachten aktuell eine erschreckend schnelle Evolution der Schadsoftware"", erklärt Malwarebytes-Chef Marcin Kleczynski im Gespräch mit der ""Welt"".","„Wir sehen derzeit, wie sich schädliche Software erschreckend schnell entwickelt“, erklärt Malwarebytes-CEO Marcin Kleczynski in einem Interview mit der Zeitung „Die Welt“.",0.73,,2026-02-27T00:00:03.387451+00:00
53,"The ransomware encrypts these files, and deletes the originals for good.",Diese Dateien verschlüsselt die Ransomware und löscht die Originale nachhaltig.,Die Ransomware verschlüsselt diese Dateien und löscht die Originale endgültig.,0.06,confidence_no_json;confidence_from_regex,2026-02-27T00:00:06.998498+00:00
54,"Last August, The New York Times reported the existence of the Pentagon inspector general investigation, opened after complaints by Centcom analysts.","Im vergangenen August berichtete die New York Times von Ermittlungen durch den Generalinspekteur des Pentagon, die nach Beschwerden von Centcom Analysten aufgenommen wurden.",Letzten August berichtete die New York Times Ã¼ber die Existenz der Untersuchung des,0.9,translation_no_json;confidence_no_json;no_confidence_found;confidence_repaired,2026-02-27T00:00:13.507459+00:00
55,It was hard not to admire Fiji's whole joyful approach.,Es war nicht schwer den spielerischen Ansatz Fijis zu bewundern.,"Es war schwer, Fidschis ganze fröhliche Herangehensweise nicht zu bewundern.",0.73,,2026-02-27T00:00:16.598058+00:00
56,During training the German pulled a ligament in his knee. At least it's clear who'll be wearing the number one jersey for Barca: Claudio Bravo.,"Der Deutsche erlitt im Training eine Bänderstauchung im Knie, womit die Einserfrage bei Barca zumindest vorerst zugunsten von Claudio Bravo geklärt ist.","Im Training hat sich der Deutsche ein Band im Knie gerissen. Zumindest ist klar, wer die Nummer eins bei Barca tragen wird: Claudio Bravo.",0.06,confidence_no_json;confidence_from_regex,2026-02-27T00:00:20.316015+00:00
57,"For Kerstin Neugebauer, who has been living in a block of flats next-door to controversial number 94 for 17 years, there can be no talk of uncertainty.","Für Kerstin Neugebauer, die seit 17 Jahren in einem Mietshaus neben der umstrittenen 94 wohnt, kann von Unsicherheit keine Rede sein.","FÃ¼r Kerstin Neugebauer, die seit 17 Jahren in einem Wohnblock neben der umstrittenen Nummer",0.73,translation_no_json,2026-02-27T00:00:25.174826+00:00
58,Do the smiles convince?,Überzeugen die lächelnden Gesichter?,Überzeugen die Lächeln?,0.73,,2026-02-27T00:00:28.132882+00:00
59,This is generally used by large US banks.,Das nutzen gerade große US-Banken.,Dies wird im Allgemeinen von großen US-Banken verwendet.,0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-27T00:00:33.152473+00:00
60,"""Groups such as the ""Identitäre Bewegung"" are trying to approach their target group on their level,"" said the head of constitutional protection.","""Gruppen wie die 'Identitäre Bewegung' versuchen, ihre Zielgruppe da abzuholen, wo sie steht"", sagte der Verfassungsschutzchef.","Gruppen wie die ""Ident",0.1,translation_no_json,2026-02-27T00:00:38.055689+00:00
61,"There was no whipped cream, just prunes, a little bit of flour, sugar, water and cinnamon.","Es gab keine geschlagene Sahne, nur Pflaumen, etwas Mehl, Zucker, Wasser und Zimt.","Es gab keine Schlagsahne, nur Pflaumen, ein bisschen Mehl, Zucker, Wasser und Zimt.",0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-27T00:00:43.351310+00:00
62,"After he had beaten 16 rivals from within the Republican camp, doubt is now growing as to whether he will be successful in the race for the White House.","Nachdem er 16 Rivalen innerhalb des eigenen republikanischen Lagers aus dem Rennen geworfen hat, wachsen nun die Zweifel an seinem Erfolg im Kampf um das Weiße Haus.","Nachdem er 16 Rivalen aus dem republikanischen Lager besiegt hatte, wachsen nun die Zweifel, ob er im Rennen um das Weiße Haus erfolgreich sein wird.",0.73,,2026-02-27T00:00:46.648082+00:00
63,Tourists on the beach at Aveiro were terrified when the plane appeared out of the murk and flew at an incredibly low altitude,"Touristen am Strand von Aveiro waren in Panik versetzt, als das Flugzeug aus der Dunkelheit kam und unglaublich tief flog","Touristen am Strand von Aveiro waren entsetzt, als das Flugzeug aus dem Nebel auftauchte und in unglaublich geringer Höhe flog.",0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-27T00:00:51.374334+00:00
64,"But the target group wasn't right: there were more people from North Rhine-Westphalia, Berlin and Saxony there than people from Mecklenburg-Vorpommern.","Aber die Zielgruppe stimmte nicht, es waren mehr Nordrhein-Westfalen, Berliner und Sachsen da als Mecklenburger und Vorpommern.","Aber die Zielgruppe stimmte nicht: Es waren mehr Menschen aus Nordrhein-Westfalen, Berlin und Sachsen dort als Menschen aus Mecklenburg-Vorpommern.",0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-27T00:00:55.955545+00:00
65,"Doctors recommend an examination in a sleep lab for patients whose snoring disrupts their breathing, for people who feel abnormally sleepy during the day, for sleepwalkers, or if the cause of a sleep disorder cannot be pinpointed, explains Fietze.","Zur Untersuchung im Schlaflabor raten Mediziner zum Beispiel bei Schnarchen mit Atemaussetzern, bei krankhafter Tagesmüdigkeit, bei Schlafwandlern oder wenn man die Ursache einer Durchschlafstörung nicht findet, erklärt Fietze.","Ärzte empfehlen eine Untersuchung im Schlaflabor für Patienten, deren Schnarchen die Atmung stört, für Menschen, die sich tagsüber ungewöhnlich schläfrig fühlen, für Schlafwandler oder wenn die Ursache einer Schlafstörung nicht genau ermittelt werden kann, erklärt Fietze.",0.06,confidence_no_json;confidence_from_regex,2026-02-27T00:00:59.683084+00:00
66,"In Bavaria, the seven district governments are responsible for providing accommodation for refugees.",In Bayern sind die sieben Bezirksregierungen für die Unterbringung von Flüchtlingen zuständig.,In Bayern sind die sieben Bezirksregierungen für die Unterbringung von Flüchtlingen zuständig.,0.0,confidence_no_json;no_confidence_found;confidence_from_partial_json;confidence_repaired,2026-02-27T00:01:04.901790+00:00
67,His mother stares at the tabletop.,Seine Mutter starrt auf die Tischplatte.,Seine Mutter starrt auf die Tischplatte.,0.99,,2026-02-27T00:01:08.276693+00:00
