id,provider,model_id,difficulty_bucket,src,ref,hyp,conf,chrf,bleu,error_within_model_q20,parse_warnings
266,gemini,gemini-2.5-pro,Q1,It is still apparently unclear who is behind the attacks.,"Noch sei unklar, welche Gruppe hinter den Anschlägen stecke.","Es ist anscheinend immer noch unklar, wer hinter den Angriffen steckt.",1.0,42.43214438053274,9.238430210261097,1,
175,gemini,gemini-2.5-pro,Q4,"He said the jet had flown slightly lower than normal because of poor visibility caused by the smoke from nearby wildfires, but the air force insisted no-one's safety had been compromised.","Der Sprecher sagte, dass der Jet aufgrund der schlechten Sichtverhältnisse durch sich in der Nähe befindliche Flächenbrände etwas tiefer als üblich flog, allerdings beharrten die Luftstreitkräfte darauf, dass die Sicherheit zu keiner Zeit gefährdet war.","Er sagte, der Jet sei wegen der schlechten Sicht durch den Rauch von nahegelegenen Waldbränden etwas tiefer als normal geflogen, aber die Luftwaffe bestand darauf, dass die Sicherheit von niemandem gefährdet worden sei.",1.0,42.49062605562975,16.23803040954697,1,
451,gemini,gemini-2.5-pro,Q1,I can't do this.,Ich schaffe das nicht.,Ich kann das nicht tun.,1.0,42.51409667692231,19.304869754804482,1,
19,gemini,gemini-2.5-pro,Q1,"All told, this is ""a mammoth task"".","Das alles sei schon eine ""Mammutaufgabe"".","Alles in allem ist das ""eine Mammutaufgabe"".",1.0,42.54431316842323,17.747405280050266,1,
139,gemini,gemini-2.5-pro,Q4,"Chilli-powder condoms, firecrackers boost Tanzania elephant protection","Kondome mit Chilipuder, Feuerwerkskörper fördern Tanzanias Elefantenschutz",Chilipulver-Kondome und Feuerwerkskörper verbessern den Schutz von Elefanten in Tansania,1.0,42.6498911419514,4.196114906296549,1,
37,gemini,gemini-2.5-pro,Q3,Muslim migrants or migrants from the Middle East were vilified in an extremist manner.,So werden Zuwanderer islamischen Glaubens oder aus dem Nahen Osten in extremistischer Weise diffamiert.,Muslimische Migranten oder Migranten aus dem Nahen Osten wurden auf extremistische Weise verunglimpft.,1.0,42.924040817573385,19.03837857221325,1,
375,gemini,gemini-2.5-pro,Q3,Comparing Clinton's and Trump's economic policies: It's all about the money,Clintons und Trumps Wirtschaftspolitik im Vergleich: It's all about the money,Ein Vergleich der Wirtschaftspolitik von Clinton und Trump: Es geht nur ums Geld,1.0,43.56160752458622,4.016138436407654,1,
52,gemini,gemini-2.5-pro,Q4,"""We are currently seeing harmful software develop terrifyingly quickly,"" explains Malwarebytes' CEO, Marcin Kleczynski, in an interview with ""Die Welt"" newspaper.","""Wir beobachten aktuell eine erschreckend schnelle Evolution der Schadsoftware"", erklärt Malwarebytes-Chef Marcin Kleczynski im Gespräch mit der ""Welt"".","„Wir erleben derzeit, dass sich schädliche Software erschreckend schnell entwickelt“, erklärt der CEO von Malwarebytes, Marcin Kleczynski, in einem Interview mit der Zeitung „Die Welt“.",1.0,44.00974125653078,4.759465490908452,1,
6,gemini,gemini-2.5-pro,Q1,"Some media outlets dubbed him ""Robel the whale"".","Einige Medien bezeichneten ihn als ""Robel der Wal"".","Einige Medien nannten ihn „Robel, der Wal“.",1.0,44.03919627177744,9.600960275119885,1,
55,gemini,gemini-2.5-pro,Q1,It was hard not to admire Fiji's whole joyful approach.,Es war nicht schwer den spielerischen Ansatz Fijis zu bewundern.,"Es war schwer, Fidschis ganze fröhliche Herangehensweise nicht zu bewundern.",1.0,44.180725502353646,17.242221289766626,1,
137,gemini,gemini-2.5-pro,Q1,12-0 and GB had hardly touched the ball.,12-0 und GB hat kaum den Ball angefasst.,12:0 und GB hatte den Ball kaum berührt.,1.0,44.70524721732661,19.72940627795883,1,
499,gemini,gemini-2.5-pro,Q4,"A French filmmaker of Jewish origin unleashed a media furor after he revealed that the Kempinski Bristol hotel in Berlin does not list Israel's dial code, with employee citing ""requests"" from Arabic customers.","Ein französischer Regisseur mit jüdischen Wurzeln entfesselte einen Medienaufruhr, nachdem er verraten hatte, dass das Kempinski Bristol Hotel in Berlin keine israelische Vorwahl aufgelistet hat, da es arabische Gäste laut einem Mitarbeiter ""angefordert hätten"".","Ein französischer Filmemacher jüdischer Herkunft löste einen Mediensturm aus, nachdem er enthüllte, dass das Hotel Kempinski Bristol in Berlin die Ländervorwahl Israels nicht auflistet, wobei sich ein Mitarbeiter auf „Anfragen“ arabischer Kunden berief.",1.0,44.73574967995017,8.583430157671387,1,
29,gemini,gemini-2.5-pro,Q2,"The last German tennis player to win was Tommy Haas, who took the silver medal in Sydney in 2000.",Als letzter deutscher Tennisprofi hatte Tommy Haas 2000 in Sydney eine Medaille (Silber) geholt.,"Der letzte deutsche Tennisspieler, der gewann, war Tommy Haas, der im Jahr 2000 in Sydney die Silbermedaille holte.",1.0,44.848292500311175,8.461633959345022,1,
86,gemini,gemini-2.5-pro,Q2,"""The last major flood we had was in March,"" said city administrator Lacy Landrum.","""Die letzte große Überschwemmung, die wir hatten, war im März,"" sagte Lacy Landrum von der Stadtverwaltung.","""Das letzte große Hochwasser hatten wir im März"", sagte Stadtverwalterin Lacy Landrum.",1.0,45.19693842271052,7.064193176157052,1,
200,gemini,gemini-2.5-pro,Q1,"""We woke up and the water kept on coming,"" Hansford said.","""Wir sind aufgewacht und das Wasser strömte und strömte herein,"" sagte Hansford.","""Wir wachten auf und das Wasser kam immer weiter"", sagte Hansford.",1.0,45.205079703942026,18.490708934754608,1,
310,gemini,gemini-2.5-pro,Q2,This means that the heat lost per gram of a mouse is much bigger than that lost per gram of an elephant.,Der Wärmeverlust von einem Gramm Maus ist daher viel größer als bei einem Gramm Elefant.,"Das bedeutet, dass der Wärmeverlust pro Gramm einer Maus viel größer ist als der pro Gramm eines Elefanten.",1.0,45.24540858315145,5.577144216540393,1,
312,gemini,gemini-2.5-pro,Q2,"The company is planning to use its own factories to build up to 10,000 vehicles per year, per level.",In der posteigenen Fabrikation plane das Unternehmen den Bau von bis zu 10.000 Autos pro Jahr und Schicht.,"Das Unternehmen plant, seine eigenen Fabriken zu nutzen, um bis zu 10.000 Fahrzeuge pro Jahr und Stufe zu bauen.",1.0,45.44598347710041,11.619330408818382,1,
459,gemini,gemini-2.5-pro,Q1,Detusche Post's electric truck in action.,Ein Elektro-Zustellfahrzeug der Deutschen Post in Aktion.,Der Elektro-LKW der Deutschen Post im Einsatz.,1.0,45.4813632737376,22.089591134157878,1,
343,gemini,gemini-2.5-pro,Q1,"Interestingly, they have similar views on infrastructure.",Interessanterweise sind sich beide sehr nahe beim Thema Infrastruktur.,Interessanterweise haben sie ähnliche Ansichten zur Infrastruktur.,1.0,45.69733934990316,9.519340818348473,1,
344,gemini,gemini-2.5-pro,Q2,The EEG levy of 20 percent is now only due when the generators in the steelworks are replaced.,"Erst wenn die Generatoren in den Stahlwerken ersetzt werden, falle eine EEG-Umlage von 20 Prozent an.",Die EEG-Umlage von 20 Prozent wird nun erst bei einem Austausch der Generatoren im Stahlwerk fällig.,1.0,45.98346576581009,14.939354788683527,1,
2,gemini,gemini-2.5-pro,Q3,Ankara is angry with the West for what it considers a weak response to the attempted takeover.,"Ankara ist auf den Westen wütend, da es dessen Reaktion auf die versuchte Machtübernahme als schwache Antwort betrachtet.",Ankara ist wütend auf den Westen wegen der aus seiner Sicht schwachen Reaktion auf den versuchten Putsch.,1.0,46.03327626542462,11.19644153835206,1,
158,gemini,gemini-2.5-pro,Q4,"""If you don't submit to WADA/FINA checks a particular amount of time before the World Championships/Olympics, then you shouldn't be able to take part,"" the Hamburg resident stated, who now runs an ice-cream parlour.","""Wer nicht eine gewisse Zeit vor WM/OS von unabhängigen Kontrolleuren der WADA/FINA kontrolliert werden kann, darf nicht teilnehmen"", fordert der Wahl-Hamburger, der mittlerweile eine Eisdiele betreibt.","„Wenn man sich eine bestimmte Zeit vor den Weltmeisterschaften/Olympischen Spielen nicht den Kontrollen der WADA/FINA unterzieht, dann sollte man nicht teilnehmen dürfen“, erklärte der Hamburger, der heute eine Eisdiele betreibt.",1.0,46.059802255038356,16.885023000999702,1,
483,gemini,gemini-2.5-pro,Q3,"NHS watchdog NICE has advised that it should be given to people for four years, to further reduce the risk of cardiovascular problems.","Die Regulierungsbehörde NICE des NHS hat eine vier Jahre lange Einnahme empfohlen, um das Risiko kardiovaskulärer Probleme weiter zu reduzieren.","Die NHS-Aufsichtsbehörde NICE hat empfohlen, dass es den Menschen vier Jahre lang verabreicht werden sollte, um das Risiko von Herz-Kreislauf-Problemen weiter zu senken.",1.0,46.22654921298413,14.440028187544327,1,
98,gemini,gemini-2.5-pro,Q4,"When the IOC announced that it would hold more than 2000 targeted doping checks in advance of the Rio games, it also announced, unusually, that athletes from Kenya and Russia would be examined particularly closely.","Bei der Ankündigung der vom IOC aufgelegten mehr als 2000 Doping-Zielkontrollen vor den Rio-Spielen wurde ungewöhnlicherweise vorher darauf hingewiesen, dass besonders Athleten aus Kenia und Russland ins Visier genommen werden.","Als das IOC ankündigte, dass es im Vorfeld der Spiele in Rio mehr als 2000 gezielte Dopingkontrollen durchführen würde, gab es ungewöhnlicherweise auch bekannt, dass Athleten aus Kenia und Russland besonders genau untersucht würden.",1.0,46.27772233561222,14.756414813723252,1,
342,gemini,gemini-2.5-pro,Q2,"In addition, some key markets saw ""changed economic climates"", which led to fewer purchases.","Zudem habe es in einigen Kernmärkten durch ""veränderte wirtschaftliche Rahmenbedingungen"" eine Kaufzurückhaltung gegeben.","Zudem erlebten einige Schlüsselmärkte ""veränderte wirtschaftliche Rahmenbedingungen"", was zu weniger Käufen führte.",1.0,47.184556625333556,24.903286388467727,1,
354,gemini,gemini-2.5-pro,Q2,"""It is unacceptable that a country that takes in refugees is also producing them,"" said Toprak.","""Es kann nicht sein, dass ein Staat, der selbst Flüchtlinge aufnimmt, im eigenen Land Flüchtlinge produziert"", sagte Toprak.","„Es ist inakzeptabel, dass ein Land, das Flüchtlinge aufnimmt, auch welche produziert“, sagte Toprak.",1.0,47.430881520414594,17.876827148517368,1,
222,gemini,gemini-2.5-pro,Q2,Ethiopia's economy has been expanding at an impressive clip.,Äthiopiens Wirtschaft expandierte im beachtlichen Tempo.,Äthiopiens Wirtschaft ist in einem beeindruckenden Tempo gewachsen.,1.0,47.59003507701433,11.339582221952005,1,
65,gemini,gemini-2.5-pro,Q4,"Doctors recommend an examination in a sleep lab for patients whose snoring disrupts their breathing, for people who feel abnormally sleepy during the day, for sleepwalkers, or if the cause of a sleep disorder cannot be pinpointed, explains Fietze.","Zur Untersuchung im Schlaflabor raten Mediziner zum Beispiel bei Schnarchen mit Atemaussetzern, bei krankhafter Tagesmüdigkeit, bei Schlafwandlern oder wenn man die Ursache einer Durchschlafstörung nicht findet, erklärt Fietze.","Ärzte empfehlen eine Untersuchung im Schlaflabor für Patienten, deren Schnarchen die Atmung stört, für Menschen, die sich tagsüber abnormal schläfrig fühlen, für Schlafwandler oder wenn die Ursache einer Schlafstörung nicht genau bestimmt werden kann, erklärt Fietze.",1.0,48.05611506113938,11.749734515861602,1,
110,openai,gpt-5.2,Q1,"However, volunteers are already aware of this.",Sensibilisiert seien die Helfer aber schon.,Freiwillige sind sich dessen jedoch bereits bewusst.,0.99,16.056552937293148,5.522397783539471,1,
356,gemini,gemini-2.5-flash,Q1,The shop did not have CCTV.,Auch eine Videoüberwachung ist nicht vorhanden.,Das Geschäft hatte keine Überwachungskameras.,0.99,23.00846400119655,6.870636427700047,1,
266,openai,gpt-5.2,Q1,It is still apparently unclear who is behind the attacks.,"Noch sei unklar, welche Gruppe hinter den Anschlägen stecke.","Es ist offenbar immer noch unklar, wer hinter den Angriffen steckt.",0.99,39.948684744653576,9.238430210261097,1,
100,openai,gpt-5.2,Q1,De Maizière also presented a few new ideas.,Ein paar neue Ideen präsentiert de Maizière auch.,De Maizière stellte auch einige neue Ideen vor.,0.99,41.1875049343397,11.99014838091355,1,
297,gemini,gemini-2.5-flash,Q1,Soon the company will start retailing the vehicle.,In Kürze will der Konzern den Handel mit dem Transporter starten.,Bald wird das Unternehmen das Fahrzeug im Einzelhandel verkaufen.,0.98,16.61402482653343,3.435488317233919,1,
325,openai,gpt-5-mini,Q3,"They were looking for a manager with people skills and communication skills, combined with years of experience in social work - a real jack-of-all-trades.","Gesucht wurde eine Verwaltungsfachkraft mit einem Talent für Sprachen und Menschen, verbunden mit einer langjährigen Erfahrung im Bereich der Sozialarbeit, eben eine eierlegende Wollmilchsau.","Sie suchten einen Leiter mit Personal- und Kommunikationsfähigkeiten, kombiniert mit jahrelanger Erfahrung in der Sozialarbeit – einen echten Alleskönner.",0.98,28.219187405408203,3.8600862901530486,1,
325,gemini,gemini-2.5-pro,Q3,"They were looking for a manager with people skills and communication skills, combined with years of experience in social work - a real jack-of-all-trades.","Gesucht wurde eine Verwaltungsfachkraft mit einem Talent für Sprachen und Menschen, verbunden mit einer langjährigen Erfahrung im Bereich der Sozialarbeit, eben eine eierlegende Wollmilchsau.","Sie suchten eine Führungskraft mit Sozialkompetenz und Kommunikationsfähigkeit, kombiniert mit jahrelanger Erfahrung in der Sozialarbeit - ein wahres Multitalent.",0.98,30.22366125289288,3.975439456551783,1,
59,openai,gpt-5.2,Q1,This is generally used by large US banks.,Das nutzen gerade große US-Banken.,Dies wird im Allgemeinen von großen US-Banken verwendet.,0.98,31.323318516523894,5.669791110976001,1,
59,openai,gpt-5-mini,Q1,This is generally used by large US banks.,Das nutzen gerade große US-Banken.,Dies wird allgemein von großen US-Banken verwendet.,0.98,32.52664896304153,6.567274736060396,1,
123,anthropic,claude-sonnet-4-5-20250929,Q1,Sounds tricky?,Klingt schwierig?,Klingt knifflig?,0.98,32.896970486118285,34.66806371753173,1,
123,gemini,gemini-2.5-flash,Q1,Sounds tricky?,Klingt schwierig?,Klingt knifflig?,0.98,32.896970486118285,34.66806371753173,1,
123,openai,gpt-5-mini,Q1,Sounds tricky?,Klingt schwierig?,Klingt knifflig?,0.98,32.896970486118285,34.66806371753173,1,
11,openai,gpt-5.2,Q1,"""The benefits of the restructuring programme will only become visible after 5 years,"" he said.","""Die Früchte der Umstrukturierung sind aber auch nach 5 Jahren noch nicht zu sehen"", hieß es.","""Die Vorteile des Umstrukturierungsprogramms werden erst nach fünf Jahren sichtbar werden"", sagte er.",0.98,33.49229679014638,6.23623194789199,1,
358,openai,gpt-5-mini,Q3,"There were another two explosions early on Friday morning, with another person killed, according to the authorities.","Freitagfrüh gingen dann erneut zwei Sprengsätze hoch, dabei wurde laut den Behörden ein weiterer Mensch getötet.","Am frühen Freitagmorgen gab es zwei weitere Explosionen, bei denen nach Angaben der Behörden eine weitere Person getötet wurde.",0.98,34.02369158219769,2.8423265381137037,1,
9,anthropic,claude-sonnet-4-5-20250929,Q1,"But nevertheless, there were some breathtaking volleys to be seen.",Doch waren nichtsdestotrotz ausreichend atemberaubende Ballwechsel zu sehen.,Aber dennoch gab es einige atemberaubende Volleys zu sehen.,0.98,35.359661412600474,16.784459625186194,1,
300,gemini,gemini-2.5-flash,Q1,This led to some lorries hurtling through residential areas.,"Was dazu führte, dass sich mancher Lkw in Wohngebieten verfranste.","Dies führte dazu, dass einige Lastwagen durch Wohngebiete rasten.",0.98,35.51070589510016,8.606119900909883,1,
179,gemini,gemini-2.5-pro,Q4,"The next day, they set off on the section towards St. Peter, the most demanding section, seeing them climb around 500 metres in altitude in sweltering heat, and then descend again.","Tags darauf trat man die Etappe nach St. Peter an, welche die anstrengenste Wegstrecke war, mussten doch bei schwüler Hitze zunächst rund 500 Höhenmeter abgestiegen und danach wieder erklommen werden.","Am nächsten Tag brachen sie auf dem Abschnitt in Richtung St. Peter auf, dem anspruchsvollsten Abschnitt, bei dem sie bei drückender Hitze rund 500 Höhenmeter auf- und dann wieder abstiegen.",0.98,35.51889581536467,8.267509519351801,1,
414,anthropic,claude-sonnet-4-5-20250929,Q2,The Union and the SPD are consequently focusing more and more on the issue of security.,Union und SPD bringen sich beim Thema innere Sicherheit daher zunehmend in Stellung.,Die Union und die SPD konzentrieren sich folglich immer mehr auf das Thema Sicherheit.,0.98,35.56714645754528,7.188959550044094,1,
331,gemini,gemini-2.5-pro,Q3,"After several regional authorities had done so, the body charged with protecting the constitution across Germany has also put the group on a watchlist.",Nach mehreren Landesämtern haben auch die Verfassungsschützer im Bund die Gruppe unter Beobachtung gestellt.,"Nachdem bereits mehrere Landesbehörden so verfahren waren, hat auch das für den Schutz der Verfassung in ganz Deutschland zuständige Organ die Gruppe auf eine Beobachtungsliste gesetzt.",0.98,35.79143058649018,3.176023542809473,1,
310,anthropic,claude-sonnet-4-5-20250929,Q2,This means that the heat lost per gram of a mouse is much bigger than that lost per gram of an elephant.,Der Wärmeverlust von einem Gramm Maus ist daher viel größer als bei einem Gramm Elefant.,"Das bedeutet, dass die Wärme, die pro Gramm einer Maus verloren geht, viel größer ist als die, die pro Gramm eines Elefanten verloren geht.",0.98,36.18872442397005,3.639374222382003,1,
