id,provider,model_id,difficulty_bucket,src,ref,hyp,conf,chrf,bleu,error_within_model_q20,parse_warnings,audit_label,annotator_id,notes
110,anthropic,claude-sonnet-4-5-20250929,Q1,"However, volunteers are already aware of this.",Sensibilisiert seien die Helfer aber schon.,Die Freiwilligen sind sich dessen jedoch bereits bewusst.,0.95,17.969517296500513,4.767707020457095,1,,,,
419,gemini,gemini-2.5-flash,Q3,"Anything less than heading back to her family's home in Spring, Texas, with a fistful of golds would be seen as a disappointment.","Nicht mit einer Handvoll Gold zurück zur Familie in Spring, Texas zurückkehren, wäre als Enttäuschung angesehen werden.",Alles andere,1.0,2.6757063149177958,0.0,1,translation_no_json;confidence_no_json;confidence_from_regex,,,
240,gemini,gemini-2.5-flash,Q2,"When a customer offered to bankroll him in a new outpost, he said he was excited to do it.","Als ihm ein Kunde anbot, Geldmittel für eine neue Außenstelle bereitzustellen, war er aufgeregt, es zu tun, sagte er.","Als ein Kunde anbot, ihn",1.0,17.181773200741265,2.674984333087479,1,translation_no_json;confidence_no_json;confidence_from_regex,,,
110,gemini,gemini-2.5-pro,Q1,"However, volunteers are already aware of this.",Sensibilisiert seien die Helfer aber schon.,Die Freiwilligen sind sich dessen jedoch bereits bewusst.,1.0,17.969517296500513,4.767707020457095,1,,,,
24,gemini,gemini-2.5-pro,Q1,Brilliant all over.,Auf ganzer Linie brilliant.,Rundum brillant.,1.0,18.77484530465136,14.127216461522432,1,,,,
297,gemini,gemini-2.5-pro,Q1,Soon the company will start retailing the vehicle.,In Kürze will der Konzern den Handel mit dem Transporter starten.,Bald wird das Unternehmen mit dem Verkauf des Fahrzeugs beginnen.,1.0,19.97630793457443,7.574347133041985,1,,,,
198,gemini,gemini-2.5-pro,Q1,This has not been noted.,Dies sei nicht erkennbar.,Dies wurde nicht vermerkt.,1.0,28.76004447690613,14.058533129758727,1,,,,
78,gemini,gemini-2.5-pro,Q1,"""My job isn't about a retirement tour.""","""Mein Job beinhaltet keine Abschieds-Tour.""",Bei meinem Job geht es nicht um eine Abschiedstournee.,1.0,31.096823901949655,4.990049701936832,1,,,,
59,gemini,gemini-2.5-pro,Q1,This is generally used by large US banks.,Das nutzen gerade große US-Banken.,Dies wird im Allgemeinen von großen US-Banken verwendet.,1.0,31.323318516523894,5.669791110976001,1,,,,
473,gemini,gemini-2.5-pro,Q2,The country however was not mentioned among the states one can call directly from the room.,"Das Land war allerdings nicht zwischen den Ländern aufgelistet, die direkt aus dem Hotelzimmer angerufen werden können.","Das Land wurde jedoch nicht unter den Staaten erwähnt, die man direkt vom Zimmer aus anrufen kann.",1.0,31.32407524867601,7.012887580040735,1,,,,
482,gemini,gemini-2.5-pro,Q1,"To me, his enthusiasm implied the opposite.",Mir schien sein Enthusiasmus eher das Gegenteil anzudeuten.,Für mich deutete seine Begeisterung auf das Gegenteil hin.,1.0,32.09159809910737,9.287528999566801,1,,,,
123,gemini,gemini-2.5-pro,Q1,Sounds tricky?,Klingt schwierig?,Klingt knifflig?,1.0,32.896970486118285,34.66806371753173,1,,,,
145,gemini,gemini-2.5-pro,Q2,"Despite that, according to Bratman, the situation in terms of the housing market is also hotting up.","Ungeachtet dessen, so Bratmann, bahne sich eine Verschärfung der Situation auf dem Wohnungsmarkt an.",Trotzdem heizt sich laut Bratman auch die Lage auf dem Wohnungsmarkt auf.,1.0,32.9522720930717,9.604706734275478,1,,,,
110,openai,gpt-5.2,Q1,"However, volunteers are already aware of this.",Sensibilisiert seien die Helfer aber schon.,Freiwillige sind sich dessen jedoch bereits bewusst.,0.99,16.056552937293148,5.522397783539471,1,,,,
266,openai,gpt-5.2,Q1,It is still apparently unclear who is behind the attacks.,"Noch sei unklar, welche Gruppe hinter den Anschlägen stecke.","Es ist offenbar immer noch unklar, wer hinter den Angriffen steckt.",0.99,39.948684744653576,9.238430210261097,1,,,,
100,openai,gpt-5.2,Q1,De Maizière also presented a few new ideas.,Ein paar neue Ideen präsentiert de Maizière auch.,De Maizière stellte auch einige neue Ideen vor.,0.99,41.1875049343397,11.99014838091355,1,,,,
325,openai,gpt-5-mini,Q3,"They were looking for a manager with people skills and communication skills, combined with years of experience in social work - a real jack-of-all-trades.","Gesucht wurde eine Verwaltungsfachkraft mit einem Talent für Sprachen und Menschen, verbunden mit einer langjährigen Erfahrung im Bereich der Sozialarbeit, eben eine eierlegende Wollmilchsau.","Sie suchten einen Leiter mit Personal- und Kommunikationsfähigkeiten, kombiniert mit jahrelanger Erfahrung in der Sozialarbeit – einen echten Alleskönner.",0.98,28.219187405408203,3.8600862901530486,1,,,,
59,openai,gpt-5.2,Q1,This is generally used by large US banks.,Das nutzen gerade große US-Banken.,Dies wird im Allgemeinen von großen US-Banken verwendet.,0.98,31.323318516523894,5.669791110976001,1,,,,
59,openai,gpt-5-mini,Q1,This is generally used by large US banks.,Das nutzen gerade große US-Banken.,Dies wird allgemein von großen US-Banken verwendet.,0.98,32.52664896304153,6.567274736060396,1,,,,
123,openai,gpt-5-mini,Q1,Sounds tricky?,Klingt schwierig?,Klingt knifflig?,0.98,32.896970486118285,34.66806371753173,1,,,,
11,openai,gpt-5.2,Q1,"""The benefits of the restructuring programme will only become visible after 5 years,"" he said.","""Die Früchte der Umstrukturierung sind aber auch nach 5 Jahren noch nicht zu sehen"", hieß es.","""Die Vorteile des Umstrukturierungsprogramms werden erst nach fünf Jahren sichtbar werden"", sagte er.",0.98,33.49229679014638,6.23623194789199,1,,,,
358,openai,gpt-5-mini,Q3,"There were another two explosions early on Friday morning, with another person killed, according to the authorities.","Freitagfrüh gingen dann erneut zwei Sprengsätze hoch, dabei wurde laut den Behörden ein weiterer Mensch getötet.","Am frühen Freitagmorgen gab es zwei weitere Explosionen, bei denen nach Angaben der Behörden eine weitere Person getötet wurde.",0.98,34.02369158219769,2.8423265381137037,1,,,,
100,openai,gpt-5-mini,Q1,De Maizière also presented a few new ideas.,Ein paar neue Ideen präsentiert de Maizière auch.,De Maizière stellte auch einige neue Ideen vor.,0.98,41.1875049343397,11.99014838091355,1,,,,
239,openai,gpt-5-mini,Q4,"The 66-year-old bus driver, employed by a coach company based in Eisenach, said that she had to swerve to avoid an oncoming lorry that was partly on the wrong side of the road.","Die 66 Jahre alte Fahrerin des Busses eines Reiseunternehmens aus Eisenach musste ihren Angaben zufolge einem entgegenkommen Laster ausweichen, der teils auf der Gegenfahrbahn fuhr.","Die 66-jährige Busfahrerin, angestellt bei einem Reisebusunternehmen mit Sitz in Eisenach, sagte, sie habe ausweichen müssen, um einen entgegenkommenden Lkw zu vermeiden, der teilweise auf der falschen Straßenseite fuhr.",0.98,41.30120189712231,4.315964619089054,1,,,,
126,openai,gpt-5-mini,Q2,Teachers must be better trained for dealing with traumatised individuals.,Lehrkräfte müssten besser auf den Umgang mit traumatisierten Menschen vorbereitet werden.,"Lehrer müssen besser darin ausgebildet werden, mit traumatisierten Personen umzugehen.",0.98,41.33406196384659,8.51659301881964,1,,,,
159,gemini,gemini-2.5-flash,Q2,Residents can now drive on both sides of the B 27 out of Ofterdingen.,Die Bürger können nun von Ofterdingen aus die B 27 wieder beidseitig befahren.,Anwohner können jetzt auf beiden Seiten der B 27 aus Ofterdingen fahren.,1.0,36.807998262831035,7.528851430380733,1,confidence_no_json;confidence_from_regex,,,
414,gemini,gemini-2.5-pro,Q2,The Union and the SPD are consequently focusing more and more on the issue of security.,Union und SPD bringen sich beim Thema innere Sicherheit daher zunehmend in Stellung.,Union und SPD konzentrieren sich deshalb immer stärker auf das Thema Sicherheit.,1.0,37.87495453318682,13.159455544835676,1,,,,
395,gemini,gemini-2.5-pro,Q2,"You're not singing by yourself - and in a group of 50 people singing, who'll hear if a note's out here or there?","Man singt ja nicht allein - bei 50 singenden Menschen, wer hört da schon, wenn mal ein Ton daneben geht?","Du singst ja nicht allein – und wer soll bei einer Gruppe von 50 Leuten, die singen, schon hören, ob hier oder da ein Ton daneben ist?",1.0,41.803381553631866,9.279771067975602,1,,,,
29,gemini,gemini-2.5-pro,Q2,"The last German tennis player to win was Tommy Haas, who took the silver medal in Sydney in 2000.",Als letzter deutscher Tennisprofi hatte Tommy Haas 2000 in Sydney eine Medaille (Silber) geholt.,"Der letzte deutsche Tennisspieler, der gewann, war Tommy Haas, der im Jahr 2000 in Sydney die Silbermedaille holte.",1.0,44.848292500311175,8.461633959345022,1,,,,
86,gemini,gemini-2.5-pro,Q2,"""The last major flood we had was in March,"" said city administrator Lacy Landrum.","""Die letzte große Überschwemmung, die wir hatten, war im März,"" sagte Lacy Landrum von der Stadtverwaltung.","""Das letzte große Hochwasser hatten wir im März"", sagte Stadtverwalterin Lacy Landrum.",1.0,45.19693842271052,7.064193176157052,1,,,,
358,gemini,gemini-2.5-pro,Q3,"There were another two explosions early on Friday morning, with another person killed, according to the authorities.","Freitagfrüh gingen dann erneut zwei Sprengsätze hoch, dabei wurde laut den Behörden ein weiterer Mensch getötet.","Am frühen Freitagmorgen gab es zwei weitere Explosionen, bei denen nach Angaben der Behörden eine weitere Person getötet wurde.",1.0,34.02369158219769,2.8423265381137037,1,,,,
288,gemini,gemini-2.5-pro,Q3,"""It's occurring within a residential area in front of a home,"" Howard said to CBS affiliate KPHO earlier this month.","""Es geschieht in einer Wohngegend vor einem Haus,"" teilte Howard der KHPO, einer Tochtergesellschaft von CBS, Anfang des Monats mit.","""Es ereignet sich in einem Wohngebiet vor einem Haus"", sagte Howard Anfang dieses Monats dem CBS-Partner KPHO.",1.0,36.15215192499425,8.338651605334334,1,,,,
150,gemini,gemini-2.5-pro,Q3,But clearly that has not stopped the internal resentment of Ethiopia's government from intensifying.,Aber offensichtlich hat dies nicht die Intensivierung der internen Missgunst der äthiopischen Regierung verhindert.,"Aber das hat den inneren Groll gegen die äthiopische Regierung offensichtlich nicht davon abgehalten, sich zu verstärken.",1.0,37.64610797438407,3.292916846800451,1,,,,
308,gemini,gemini-2.5-pro,Q3,"To prevent it from simply being stolen, it sinks down when measuring, making its wheels disappear into the armoured, bullet-proof exterior.","Damit er nicht einfach geklaut wird, ist er im Messbetrieb abgesenkt, so dass die Räder in der gepanzerten und übrigens auch schusssicheren Außenhülle verschwinden.","Um zu verhindern, dass es einfach gestohlen wird, senkt es sich beim Messen ab, wodurch seine Räder im gepanzerten, kugelsicheren Äußeren verschwinden.",1.0,38.95360037469629,4.935860893352708,1,,,,
413,openai,gpt-5.2,Q3,Schmidt pointed out that the waste treatment plant at Azendorf needed to have its mechanical ventilation system replaced because of damage.,"Schmidt verwies darauf, dass in der Abwasseranlage Azendorf die mechanische Belüftungsanlage aufgrund eines Schadens ausgetauscht werden musste.","Schmidt wies darauf hin, dass die Abfallbehandlungsanlage in Azendorf ihre mechanische Lüftungsanlage aufgrund von Schäden ersetzen müsse.",0.98,44.888789246315575,6.054506513220935,1,,,,
358,openai,gpt-5.2,Q3,"There were another two explosions early on Friday morning, with another person killed, according to the authorities.","Freitagfrüh gingen dann erneut zwei Sprengsätze hoch, dabei wurde laut den Behörden ein weiterer Mensch getötet.","Nach Angaben der Behörden gab es am frühen Freitagmorgen zwei weitere Explosionen, bei denen eine weitere Person getötet wurde.",0.97,33.237358230224054,2.8423265381137037,1,,,,
368,openai,gpt-5.2,Q3,"""We all need to learn to put our phones down from time to time,"" said Janina Kugel, Siemens HR Director.","""Wir müssen alle lernen, das Smartphone auch mal wegzulegen"", sagte gerade Janina Kugel, im Siemens-Vorstand für Personal zuständig.","""Wir alle müssen lernen, von Zeit zu Zeit unsere Handys wegzulegen"", sagte Janina Kugel, Personalchefin von Siemens.",0.97,45.65001450016337,18.465221092138684,1,,,,
